 ,Slice,Name,Area_raw,Aspect Ratio_Maj_Min,Mobility
404,403,Demo_video (2),6097,2.794,68
405,404,Demo_video (2),6102,2.833,4
406,405,Demo_video (2),6101,2.833,199
407,406,Demo_video (2),6136,2.882,98
408,407,Demo_video (2),6174,2.889,40
409,408,Demo_video (2),6181,2.895,0
410,409,Demo_video (2),6181,2.895,93
411,410,Demo_video (2),6175,2.908,0
412,411,Demo_video (2),6174,2.909,115
413,412,Demo_video (2),6164,2.854,174
414,413,Demo_video (2),6148,2.731,0
415,414,Demo_video (2),6148,2.731,0
416,415,Demo_video (2),6148,2.731,80
417,416,Demo_video (2),6077,2.683,60
418,417,Demo_video (2),5866,2.634,95
419,418,Demo_video (2),5767,2.616,63
420,419,Demo_video (2),5701,2.565,1
421,420,Demo_video (2),5699,2.565,58
422,421,Demo_video (2),5607,2.513,145
423,422,Demo_video (2),5521,2.408,116
424,423,Demo_video (2),5506,2.382,0
425,424,Demo_video (2),5504,2.383,154
426,425,Demo_video (2),5512,2.352,158
427,426,Demo_video (2),5584,2.358,2
428,427,Demo_video (2),5581,2.359,303
429,428,Demo_video (2),5705,2.427,105
430,429,Demo_video (2),5766,2.462,0
431,430,Demo_video (2),5766,2.462,207
432,431,Demo_video (2),5874,2.535,3
433,432,Demo_video (2),5877,2.534,217
434,433,Demo_video (2),5881,2.710,175
435,434,Demo_video (2),5887,2.795,127
436,435,Demo_video (2),5882,2.858,48
437,436,Demo_video (2),5899,2.864,129
438,437,Demo_video (2),5890,2.939,51
439,438,Demo_video (2),5859,2.991,102
440,439,Demo_video (2),5856,3.000,72
441,440,Demo_video (2),5853,3.035,80
442,441,Demo_video (2),5834,3.041,0
443,442,Demo_video (2),5834,3.041,0
444,443,Demo_video (2),5834,3.041,138
445,444,Demo_video (2),5645,2.984,81
446,445,Demo_video (2),5586,2.910,150
447,446,Demo_video (2),5688,2.813,3
448,447,Demo_video (2),5689,2.813,129
449,448,Demo_video (2),5680,2.698,291
450,449,Demo_video (2),5693,2.436,120
451,450,Demo_video (2),5650,2.359,25
452,451,Demo_video (2),5632,2.357,96
453,452,Demo_video (2),5627,2.288,144
454,453,Demo_video (2),5620,2.169,102
455,454,Demo_video (2),5609,2.121,110
456,455,Demo_video (2),5612,2.090,85
457,456,Demo_video (2),5627,2.076,1
458,457,Demo_video (2),5628,2.076,92
459,458,Demo_video (2),5605,2.078,0
460,459,Demo_video (2),5605,2.078,29
461,460,Demo_video (2),5361,2.125,54
462,461,Demo_video (2),5372,2.148,4
463,462,Demo_video (2),5373,2.148,73
464,463,Demo_video (2),5399,2.168,83
465,464,Demo_video (2),5422,2.199,126
466,465,Demo_video (2),5455,2.260,67
467,466,Demo_video (2),5478,2.279,56
468,467,Demo_video (2),5492,2.301,63
469,468,Demo_video (2),5503,2.305,1
470,469,Demo_video (2),5502,2.305,69
471,470,Demo_video (2),5541,2.325,61
472,471,Demo_video (2),5566,2.355,0
473,472,Demo_video (2),5566,2.355,182
474,473,Demo_video (2),5626,2.457,2
475,474,Demo_video (2),5622,2.456,177
476,475,Demo_video (2),5697,2.537,99
477,476,Demo_video (2),5755,2.553,55
478,477,Demo_video (2),5760,2.574,2
479,478,Demo_video (2),5759,2.574,98
480,479,Demo_video (2),5735,2.580,0
481,480,Demo_video (2),5735,2.580,75
482,481,Demo_video (2),5729,2.613,40
483,482,Demo_video (2),5747,2.628,18
484,483,Demo_video (2),5723,2.650,76
485,484,Demo_video (2),5726,2.671,0
486,485,Demo_video (2),5725,2.672,73
487,486,Demo_video (2),5715,2.740,84
488,487,Demo_video (2),5752,2.788,99
489,488,Demo_video (2),5783,2.819,1
490,489,Demo_video (2),5784,2.819,145
491,490,Demo_video (2),5862,2.906,134
492,491,Demo_video (2),5912,2.948,152
493,492,Demo_video (2),5956,3.026,0
494,493,Demo_video (2),5956,3.026,158
495,494,Demo_video (2),6022,3.158,50
496,495,Demo_video (2),6041,3.157,110
497,496,Demo_video (2),6037,3.168,90
498,497,Demo_video (2),6061,3.182,82
499,498,Demo_video (2),6014,3.198,0
500,499,Demo_video (2),6014,3.198,0
501,500,Demo_video (2),6014,3.198,176
502,501,Demo_video (2),5897,3.026,128
503,502,Demo_video (2),5874,3.018,74
504,503,Demo_video (2),5881,3.028,1
505,504,Demo_video (2),5881,3.028,30
506,505,Demo_video (2),5885,3.039,70
507,506,Demo_video (2),5885,3.049,28
508,507,Demo_video (2),5867,3.068,1
509,508,Demo_video (2),5868,3.067,62
510,509,Demo_video (2),5857,3.090,89
511,510,Demo_video (2),5816,3.065,55
512,511,Demo_video (2),5807,3.068,22
513,512,Demo_video (2),5758,3.077,132
514,513,Demo_video (2),5734,3.085,88
515,514,Demo_video (2),5735,3.080,42
516,515,Demo_video (2),5715,3.098,3
517,516,Demo_video (2),5717,3.097,71
518,517,Demo_video (2),5728,3.123,83
519,518,Demo_video (2),5723,3.128,23
520,519,Demo_video (2),5693,3.118,116
521,520,Demo_video (2),5679,3.132,58
522,521,Demo_video (2),5680,3.177,121
523,522,Demo_video (2),5712,3.195,54
524,523,Demo_video (2),5696,3.238,0
525,524,Demo_video (2),5696,3.238,142
526,525,Demo_video (2),5758,3.295,46
527,526,Demo_video (2),5754,3.286,0
528,527,Demo_video (2),5754,3.286,207
529,528,Demo_video (2),5789,3.413,107
530,529,Demo_video (2),5827,3.439,28
531,530,Demo_video (2),5818,3.458,20
532,531,Demo_video (2),5803,3.456,41
533,532,Demo_video (2),5802,3.450,65
534,533,Demo_video (2),5820,3.456,87
535,534,Demo_video (2),5810,3.465,0
536,535,Demo_video (2),5810,3.465,103
537,536,Demo_video (2),5831,3.495,60
538,537,Demo_video (2),5833,3.494,142
539,538,Demo_video (2),5847,3.499,123
540,539,Demo_video (2),5862,3.539,101
541,540,Demo_video (2),5864,3.536,44
542,541,Demo_video (2),5864,3.549,157
